City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,Petropavlovsk-Kamchatsky,53.0452,158.6483,43.39,87,75,15.66,RU,2023-05-30 19:34:33
248,Aktau,43.65,51.2,77.58,26,94,9.71,KZ,2023-05-30 19:34:33
249,Eilat,29.5581,34.9482,87.64,25,20,13.8,IL,2023-05-30 19:34:34
250,Oranjemund,-28.55,16.4333,57.22,93,96,8.25,NA,2023-05-30 19:34:35
251,Feres,40.8956,26.17,65.64,82,40,0.0,GR,2023-05-30 19:34:35
252,Katsuura,35.1333,140.3,68.02,79,100,17.63,JP,2023-05-30 19:34:35
253,Alipur,29.3846,70.9116,81.05,55,95,6.55,PK,2023-05-30 19:34:35
254,Baihar,22.1,80.55,86.31,33,100,3.42,IN,2023-05-30 19:34:35
255,Tomatlan,19.9333,-105.25,95.36,36,0,15.08,MX,2023-05-30 19:34:35
256,Gazli,40.1333,63.45,80.35,11,4,18.03,UZ,2023-05-30 19:33:34
257,Tevriz,57.509,72.4042,56.28,98,47,1.16,RU,2023-05-30 19:34:36
258,Uturoa,-16.7333,-151.4333,79.29,79,7,8.55,PF,2023-05-30 19:34:36
259,Afaahiti,-17.75,-149.2833,76.87,84,52,11.12,PF,2023-05-30 19:34:36
260,Kegen,43.0197,79.2203,44.64,51,0,4.18,KZ,2023-05-30 19:34:37
261,Chernyshevskiy,63.0128,112.4714,42.46,85,27,9.26,RU,2023-05-30 19:34:37
262,Liuduzhai,27.3661,110.935,72.18,96,98,3.53,CN,2023-05-30 19:34:37
263,Holualoa,19.6228,-155.9522,77.77,81,40,9.22,US,2023-05-30 19:34:38
264,Nuuk,64.1835,-51.7216,41.61,75,75,5.75,GL,2023-05-30 19:34:38
265,Sakakah,29.9697,40.2064,81.97,35,19,10.85,SA,2023-05-30 19:34:25
266,Byala Slatina,43.4667,23.9333,61.81,85,26,4.54,BG,2023-05-30 19:34:38
267,Praia Da Vitoria,38.7333,-27.0667,66.45,88,40,10.36,PT,2023-05-30 19:34:38
268,El Galpon,-25.3807,-64.6526,73.63,46,4,6.8,AR,2023-05-30 19:34:39
269,East Ballina,-28.8667,153.5833,48.79,72,0,5.35,AU,2023-05-30 19:34:39
270,Gewane,10.1664,40.6453,87.84,46,82,1.25,ET,2023-05-30 19:34:39
271,Salavan,15.7167,106.4167,74.82,98,70,2.77,LA,2023-05-30 19:34:39
272,Kirakira,-10.4544,161.9205,76.01,90,100,7.92,SB,2023-05-30 19:34:39
273,Hopelchen,19.7667,-89.85,103.37,22,19,8.03,MX,2023-05-30 19:34:40
274,Queenstown,-31.8976,26.8753,50.07,88,100,1.5,ZA,2023-05-30 19:34:40
275,Adamovka,51.5223,59.9396,72.1,34,100,5.08,RU,2023-05-30 19:34:40
276,As Sulayyil,20.4607,45.5779,88.05,39,45,15.86,SA,2023-05-30 19:34:40
277,Ratnagiri,16.9833,73.3,81.9,90,14,5.53,IN,2023-05-30 19:34:40
278,Mosfellsbaer,64.1667,-21.7,45.91,76,100,5.75,IS,2023-05-30 19:34:41
279,Douglas,41.3,-96.167,89.78,40,40,14.97,US,2023-05-30 19:34:41
280,Saint-Philippe,-21.3585,55.7679,69.39,78,39,5.41,RE,2023-05-30 19:34:41
281,Sinop,41.7711,34.8709,57.7,95,99,1.97,TR,2023-05-30 19:34:41
282,Port Macquarie,-31.4333,152.9167,42.89,66,4,4.43,AU,2023-05-30 19:34:41
283,Linhares,-19.3911,-40.0722,72.63,75,15,8.03,BR,2023-05-30 19:34:42
284,Umm Kaddadah,13.6017,26.6876,91.54,30,13,3.31,SD,2023-05-30 19:34:42
285,San Patricio,28.017,-97.5169,90.16,56,67,9.48,US,2023-05-30 19:35:42
286,Trairi,-3.2778,-39.2689,79.16,86,48,10.09,BR,2023-05-30 19:35:42
